Block Address with Zip,Crime Count,SafetyScore,ZipCode,block,street,lat,lng
"0 BLOCK  13TH ST, 02129",3,84.40643863179075,2129,0,13TH ST,42.3756431,-71.0495895
"0 BLOCK  3RD AVE, 02129",3,84.40643863179075,2129,0,3RD AVE,42.3754126,-71.05510199999999
"0 BLOCK  A ST, 02127",21,32.14285714285714,2127,0,A ST,42.3406551,-71.05702
"0 BLOCK  A ST, 02136",6,64.738430583501,2136,0,A ST,42.2507657,-71.1259038
"0 BLOCK  ABBOT ST, 02124",72,8.115358819584173,2124,0,ABBOT ST,42.2977864,-71.0865702
"0 BLOCK  ABBOTSFORD ST, 02121",52,12.826961770623749,2121,0,ABBOTSFORD ST,42.3149804,-71.09369579999999
"0 BLOCK  ABBY RD, 02135",4,75.85513078470825,2135,0,ABBY RD,42.3612833,-71.14126089999999
"0 BLOCK  ABERDEEN ST, 02215",11,48.52448021462106,2215,0,ABERDEEN ST,42.34688,-71.1040787
"0 BLOCK  ACADEMY CT, 02119",8,56.87458081824279,2119,0,ACADEMY CT,42.32071800000001,-71.0980423
"0 BLOCK  ACADEMY HILL RD, 02135",19,34.607645875251514,2135,0,ACADEMY HILL RD,42.3488759,-71.1524922
"0 BLOCK  ACADEMY TER, 02119",5,70.03688799463448,2119,0,ACADEMY TER,42.3210525,-71.09733709999999
"0 BLOCK  ACKLEY PL, 02130",2,100.0,2130,0,ACKLEY PL,42.3109573,-71.103082
"0 BLOCK  ADAIR RD, 02135",4,75.85513078470825,2135,0,ADAIR RD,42.351516,-71.16673759999999
"0 BLOCK  ADAMS ST, 02119",35,20.35546613011402,2119,0,ADAMS ST,42.3292338,-71.0756056
"0 BLOCK  ADAMS ST, 02122",77,7.344064386317905,2122,0,ADAMS ST,42.3088172,-71.063788
"0 BLOCK  ADAMS ST, 02129",4,75.85513078470825,2129,0,ADAMS ST,42.3747617,-71.0601144
"0 BLOCK  ADAMS ST, 02186",3,84.40643863179075,2186,0,ADAMS ST,42.270521,-71.067966
